"inventory_id","rental_count"
1580,"1"
2662,"1"
2786,"1"
3372,"1"
3,"2"
4,"2"
8,"2"
9,"2"
11,"2"
12,"2"
13,"2"
18,"2"
28,"2"
31,"2"
32,"2"
36,"2"
43,"2"
44,"2"
45,"2"
47,"2"
48,"2"
54,"2"
57,"2"
60,"2"
64,"2"
67,"2"
68,"2"
69,"2"
74,"2"
77,"2"
81,"2"
83,"2"
84,"2"
90,"2"
93,"2"
96,"2"
101,"2"
107,"2"
111,"2"
112,"2"
114,"2"
121,"2"
127,"2"
137,"2"
154,"2"
156,"2"
157,"2"
160,"2"
167,"2"
169,"2"
171,"2"
175,"2"
177,"2"
180,"2"
181,"2"
188,"2"
192,"2"
193,"2"
199,"2"
209,"2"
217,"2"
222,"2"
232,"2"
250,"2"
254,"2"
255,"2"
257,"2"
271,"2"
281,"2"
283,"2"
289,"2"
290,"2"
300,"2"
305,"2"
306,"2"
307,"2"
311,"2"
317,"2"
319,"2"
321,"2"
325,"2"
329,"2"
332,"2"
334,"2"
335,"2"
336,"2"
338,"2"
341,"2"
344,"2"
347,"2"
348,"2"
356,"2"
358,"2"
365,"2"
366,"2"
370,"2"
381,"2"
388,"2"
392,"2"
394,"2"
396,"2"
401,"2"
405,"2"
408,"2"
410,"2"
411,"2"
413,"2"
420,"2"
422,"2"
423,"2"
426,"2"
429,"2"
437,"2"
454,"2"
455,"2"
464,"2"
472,"2"
475,"2"
477,"2"
484,"2"
489,"2"
504,"2"
505,"2"
507,"2"
508,"2"
509,"2"
519,"2"
520,"2"
521,"2"
524,"2"
525,"2"
526,"2"
528,"2"
534,"2"
540,"2"
543,"2"
544,"2"
545,"2"
551,"2"
552,"2"
554,"2"
555,"2"
564,"2"
566,"2"
567,"2"
572,"2"
574,"2"
577,"2"
579,"2"
588,"2"
589,"2"
598,"2"
603,"2"
606,"2"
607,"2"
613,"2"
620,"2"
628,"2"
631,"2"
641,"2"
648,"2"
649,"2"
652,"2"
660,"2"
663,"2"
665,"2"
671,"2"
675,"2"
678,"2"
682,"2"
684,"2"
685,"2"
689,"2"
690,"2"
693,"2"
700,"2"
704,"2"
710,"2"
713,"2"
714,"2"
722,"2"
728,"2"
733,"2"
738,"2"
744,"2"
747,"2"
748,"2"
756,"2"
767,"2"
770,"2"
772,"2"
777,"2"
779,"2"
781,"2"
790,"2"
791,"2"
792,"2"
798,"2"
801,"2"
803,"2"
812,"2"
817,"2"
820,"2"
823,"2"
827,"2"
832,"2"
836,"2"
838,"2"
852,"2"
855,"2"
857,"2"
859,"2"
861,"2"
862,"2"
866,"2"
867,"2"
875,"2"
876,"2"
878,"2"
879,"2"
880,"2"
884,"2"
885,"2"
891,"2"
893,"2"
894,"2"
900,"2"
904,"2"
918,"2"
920,"2"
925,"2"
926,"2"
929,"2"
930,"2"
934,"2"
939,"2"
940,"2"
943,"2"
954,"2"
956,"2"
960,"2"
961,"2"
962,"2"
966,"2"
968,"2"
969,"2"
972,"2"
973,"2"
974,"2"
976,"2"
981,"2"
985,"2"
998,"2"
1004,"2"
1005,"2"
1006,"2"
1010,"2"
1011,"2"
1016,"2"
1018,"2"
1023,"2"
1029,"2"
1031,"2"
1032,"2"
1034,"2"
1035,"2"
1037,"2"
1038,"2"
1040,"2"
1045,"2"
1046,"2"
1051,"2"
1052,"2"
1059,"2"
1065,"2"
1068,"2"
1072,"2"
1074,"2"
1078,"2"
1079,"2"
1082,"2"
1088,"2"
1089,"2"
1094,"2"
1098,"2"
1104,"2"
1106,"2"
1109,"2"
1112,"2"
1117,"2"
1120,"2"
1125,"2"
1126,"2"
1128,"2"
1132,"2"
1134,"2"
1136,"2"
1140,"2"
1149,"2"
1153,"2"
1155,"2"
1159,"2"
1161,"2"
1163,"2"
1165,"2"
1169,"2"
1171,"2"
1180,"2"
1195,"2"
1196,"2"
1205,"2"
1207,"2"
1210,"2"
1212,"2"
1217,"2"
1228,"2"
1232,"2"
1233,"2"
1234,"2"
1238,"2"
1240,"2"
1248,"2"
1249,"2"
1250,"2"
1256,"2"
1260,"2"
1262,"2"
1267,"2"
1268,"2"
1274,"2"
1276,"2"
1280,"2"
1285,"2"
1289,"2"
1297,"2"
1301,"2"
1316,"2"
1320,"2"
1325,"2"
1327,"2"
1328,"2"
1329,"2"
1333,"2"
1335,"2"
1341,"2"
1345,"2"
1346,"2"
1348,"2"
1353,"2"
1360,"2"
1362,"2"
1365,"2"
1371,"2"
1375,"2"
1377,"2"
1384,"2"
1390,"2"
1394,"2"
1397,"2"
1415,"2"
1416,"2"
1418,"2"
1419,"2"
1430,"2"
1436,"2"
1439,"2"
1445,"2"
1447,"2"
1448,"2"
1450,"2"
1455,"2"
1461,"2"
1468,"2"
1470,"2"
1475,"2"
1477,"2"
1479,"2"
1483,"2"
1485,"2"
1487,"2"
1493,"2"
1499,"2"
1501,"2"
1504,"2"
1506,"2"
1507,"2"
1517,"2"
1519,"2"
1532,"2"
1537,"2"
1538,"2"
1541,"2"
1542,"2"
1545,"2"
1549,"2"
1559,"2"
1560,"2"
1563,"2"
1566,"2"
1574,"2"
1576,"2"
1577,"2"
1582,"2"
1583,"2"
1587,"2"
1593,"2"
1596,"2"
1597,"2"
1598,"2"
1600,"2"
1601,"2"
1603,"2"
1605,"2"
1609,"2"
1610,"2"
1611,"2"
1612,"2"
1633,"2"
1634,"2"
1635,"2"
1636,"2"
1637,"2"
1645,"2"
1646,"2"
1647,"2"
1650,"2"
1658,"2"
1659,"2"
1663,"2"
1664,"2"
1667,"2"
1668,"2"
1673,"2"
1674,"2"
1678,"2"
1682,"2"
1698,"2"
1705,"2"
1709,"2"
